Filename;Object ID;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Column1;;;;
frame_001214.png;1;MTB;52;18;61;31; ;;;;
frame_001215.png;1;MTB;51;18;60;32; ;;;;
frame_001216.png;1;MTB;49;18;59;33; ;;;;
frame_001217.png;1;MTB;47;18;57;35; ;;;;
frame_001218.png;1;MTB;44;19;55;37; ;;;;
frame_001219.png;1;MTB;40;19;53;39; ;;;;
frame_001220.png;1;MTB;35;19;50;42; ;;;;
frame_001221.png;1;MTB;29;19;46;47; ;;;;
frame_001222.png;1;MTB;20;20;41;52; ;;;;
frame_001223.png;1;MTB;6;22;33;56; ;;;;
frame_001247.png;1;MTB;56;18;63;28; ;;;;
frame_001248.png;1;MTB;55;18;62;28; ;;;;
frame_001249.png;1;MTB;54;18;61;29; ;;;;
frame_001250.png;1;MTB;53;18;61;30; ;;;;
frame_001251.png;1;MTB;52;18;60;30; ;;;;
frame_001252.png;1;MTB;51;18;59;32; ;;;;
frame_001253.png;1;MTB;50;18;59;32; ;;;;
frame_001254.png;1;MTB;48;19;57;34; ;;;;
frame_001255.png;1;MTB;45;19;56;36; ;;;;
frame_001256.png;1;MTB;43;19;54;37; ;;;;
frame_001257.png;1;MTB;41;19;52;38; ;;;;
frame_001258.png;1;MTB;38;19;50;40; ;;;;
frame_001259.png;1;MTB;34;20;48;42; ;;;;
frame_001260.png;1;MTB;29;20;45;44; ;;;;
frame_001261.png;1;MTB;22;20;42;49; ;;;;
frame_001262.png;1;MTB;15;21;37;53; ;;;;
frame_001263.png;1;MTB;3;21;31;57; ;;;;
frame_002299.png;1;MTB;48;19;57;34; ;;;;
frame_002300.png;1;MTB;45;19;56;36; ;;;;
frame_002301.png;1;MTB;42;20;54;38; ;;;;
frame_002302.png;1;MTB;38;20;51;40; ;;;;
frame_002303.png;1;MTB;33;21;48;43; ;;;;
frame_002304.png;1;MTB;27;21;44;46; ;;;;
frame_002305.png;1;MTB;18;22;38;51; ;;;;
frame_002306.png;1;MTB;6;23;32;55; ;;;;
frame_007820.png;1;MTB;55;19;61;29; ;;;;
frame_007821.png;1;MTB;54;19;60;30; ;;;;
frame_007822.png;1;MTB;52;19;60;31; ;;;;
frame_007823.png;1;MTB;51;19;59;32; ;;;;
frame_007824.png;1;MTB;49;19;58;33; ;;;;
frame_007825.png;1;MTB;46;19;56;35; ;;;;
frame_007826.png;1;MTB;43;20;54;37; ;;;;
frame_007827.png;1;MTB;39;20;52;39; ;;;;
frame_007828.png;1;MTB;34;21;48;42; ;;;;
frame_007829.png;1;MTB;26;22;43;46; ;;;;
frame_007830.png;1;MTB;16;23;36;53; ;;;;
frame_007831.png;1;MTB;1;24;26;56; ;;;;
frame_011432.png;1;MTB;55;19;61;30; ;;;;
frame_011433.png;1;MTB;54;19;60;30; ;;;;
frame_011434.png;1;MTB;53;19;60;31; ;;;;
frame_011435.png;1;MTB;52;19;60;31; ;;;;
frame_011436.png;1;MTB;51;19;59;32; ;;;;
frame_011437.png;1;MTB;50;19;58;33; ;;;;
frame_011438.png;1;MTB;48;19;57;34; ;;;;
frame_011439.png;1;MTB;47;19;56;35; ;;;;
frame_011440.png;1;MTB;45;20;54;36; ;;;;
frame_011441.png;1;MTB;42;20;53;38; ;;;;
frame_011442.png;1;MTB;39;20;51;40; ;;;;
frame_011443.png;1;MTB;36;20;49;42; ;;;;
frame_011444.png;1;MTB;31;20;47;45; ;;;;
frame_011445.png;1;MTB;26;21;43;47; ;;;;
frame_011446.png;1;MTB;19;22;39;52; ;;;;
frame_011447.png;1;MTB;10;23;34;56; ;;;;
frame_011448.png;1;MTB;0;24;26;60; ;;;;
frame_013937.png;1;MTB;48;20;57;34; ;;;;
frame_013938.png;1;MTB;45;20;56;35; ;;;;
frame_013939.png;1;MTB;41;20;54;37; ;;;;
frame_013940.png;1;MTB;38;20;51;39; ;;;;
frame_013941.png;1;MTB;33;20;48;41; ;;;;
frame_013942.png;1;MTB;27;22;44;46; ;;;;
frame_013943.png;1;MTB;19;22;40;50; ;;;;
frame_013944.png;1;MTB;8;23;33;55;;;;;
frame_019520.png;1;MTB;52;19;61;31;  ;;;;
frame_019521.png;1;MTB;50;19;60;32; ;;;;
frame_019522.png;1;MTB;49;19;58;32; ;;;;
frame_019523.png;1;MTB;46;19;57;34; ;;;;
frame_019524.png;1;MTB;44;20;55;35; ;;;;
frame_019525.png;1;MTB;40;20;52;37; ;;;;
frame_019526.png;1;MTB;35;21;49;40; ;;;;
frame_019527.png;1;MTB;28;22;44;42; ;;;;
frame_019528.png;1;MTB;19;23;39;47; ;;;;
frame_019529.png;1;MTB;5;24;30;51; ;;;;
frame_025239.png;1;MTB;50;19;59;32; ;;;;
frame_025240.png;1;MTB;48;19;58;33; ;;;;
frame_025241.png;1;MTB;47;19;57;36; ;;;;
frame_025242.png;1;MTB;45;20;55;36; ;;;;
frame_025243.png;1;MTB;41;20;53;39; ;;;;
frame_025244.png;1;MTB;37;20;50;39; ;;;;
frame_025245.png;1;MTB;32;21;47;41; ;;;;
frame_025246.png;1;MTB;26;21;43;44; ;;;;
frame_025247.png;1;MTB;19;22;38;49; ;;;;
frame_025248.png;1;MTB;8;22;33;53; ;;;;
frame_025249.png;1;MTB;0;23;23;58; ;;;;
frame_028243.png;1;MTB;52;20;59;32; ;;;;
frame_028244.png;1;MTB;50;20;59;33; ;;;;
frame_028245.png;1;MTB;47;20;57;34; ;;;;
frame_028246.png;1;MTB;45;20;55;36; ;;;;
frame_028247.png;1;MTB;42;20;53;39; ;;;;
frame_028248.png;1;MTB;39;20;51;39; ;;;;
frame_028249.png;1;MTB;35;21;48;42; ;;;;
frame_028250.png;1;MTB;30;21;45;45; ;;;;
frame_028251.png;1;MTB;24;21;41;49; ;;;;
frame_028252.png;1;MTB;16;22;36;53; ;;;;
frame_028253.png;1;MTB;4;23;30;57; ;;;;
frame_029414.png;1;MTB;52;20;60;32; ;;;;
frame_029415.png;1;MTB;51;20;60;34; ;;;;
frame_029416.png;1;MTB;49;20;59;35; ;;;;
frame_029417.png;1;MTB;47;20;58;35; ;;;;
frame_029418.png;1;MTB;45;20;56;35; ;;;;
frame_029419.png;1;MTB;43;20;55;37; ;;;;
frame_029420.png;1;MTB;40;20;53;39; ;;;;
frame_029421.png;1;MTB;37;20;51;40; ;;;;
frame_029422.png;1;MTB;33;21;48;43; ;;;;
frame_029423.png;1;MTB;28;21;44;46; ;;;;
frame_029424.png;1;MTB;22;22;41;50; ;;;;
frame_029425.png;1;MTB;13;23;36;55; ;;;;
frame_029426.png;1;MTB;2;23;30;59; ;;;;
frame_031524.png;1;MTB;46;20;56;34; ;;;;
frame_031525.png;1;MTB;44;20;55;35; ;;;;
frame_031526.png;1;MTB;40;21;54;39; ;;;;
frame_031527.png;1;MTB;35;21;49;42; ;;;;
frame_031528.png;1;MTB;28;22;44;45; ;;;;
frame_031529.png;1;MTB;19;23;38;52; ;;;;
frame_031530.png;1;MTB;7;24;31;56; ;;;;
frame_038220.png;1;MTB;51;21;59;36; ;;;;
frame_038221.png;1;MTB;49;21;57;36; ;;;;
frame_038222.png;1;MTB;48;21;56;37; ;;;;
frame_038223.png;1;MTB;46;21;55;38; ;;;;
frame_038224.png;1;MTB;43;21;53;40; ;;;;
frame_038225.png;1;MTB;39;22;51;43; ;;;;
frame_038226.png;1;MTB;34;22;48;45; ;;;;
frame_038227.png;1;MTB;28;22;45;49; ;;;;
frame_038228.png;1;MTB;20;23;41;55; ;;;;
frame_038229.png;1;MTB;10;24;35;57; ;;;;
frame_038230.png;1;MTB;0;25;26;59; ;;;;
frame_038240.png;1;MTB;50;20;59;35; ;;;;
frame_038241.png;1;MTB;48;20;58;36; ;;;;
frame_038242.png;1;MTB;46;20;57;38; ;;;;
frame_038243.png;1;MTB;44;21;55;39; ;;;;
frame_038244.png;1;MTB;41;21;53;41; ;;;;
frame_038245.png;1;MTB;37;21;50;44; ;;;;
