Filename;Object ID;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;
frame_006067.png;1;MTB; 26; 15; 34; 24; 
frame_006068.png;1;MTB; 25; 16; 34; 25; 
frame_006069.png;1;MTB; 24; 16; 34; 26; 
frame_006070.png;1;MTB; 24; 17; 34; 27; 
frame_006071.png;1;MTB; 25; 18; 35; 28; 
frame_006072.png;1;MTB; 26; 19; 37; 30; 
frame_006073.png;1;MTB; 28; 20; 40; 32; 
frame_006074.png;1;MTB; 31; 21; 43; 34; 
frame_006075.png;1;MTB; 35; 23; 47; 39; 
frame_006076.png;1;MTB; 39; 26; 51; 42; 
frame_006077.png;1;MTB; 43; 28; 57; 45; 
frame_006078.png;1;MTB; 48; 31; 62; 49; 
frame_006079.png;1;MTB; 53; 34; 69; 52; 
frame_006080.png;1;MTB; 60; 38; 77; 54; 
frame_006081.png;1;MTB; 68; 42; 79; 59; 
frame_006096.png;1;MTB; 44; 5; 49; 10; 
frame_006097.png;1;MTB; 43; 5; 49; 11; 
frame_006098.png;1;MTB; 42; 6; 48; 12; 
frame_006099.png;1;MTB; 41; 7; 47; 13; 
frame_006100.png;1;MTB; 40; 7; 46; 15; 
frame_006101.png;1;MTB; 39; 9; 45; 16; 
frame_006103.png;1;MTB; 36; 10; 42; 18; 
frame_006104.png;1;MTB; 35; 11; 41; 19; 
frame_006105.png;1;MTB; 33; 12; 39; 20; 
frame_006106.png;1;MTB; 31; 13; 38; 21; 
frame_006107.png;1;MTB; 29; 13; 37; 22; 
frame_006108.png;1;MTB; 28; 14; 36; 23; 
frame_006109.png;1;MTB; 27; 15; 35; 23; 
frame_006110.png;1;MTB; 26; 15; 34; 25; 
frame_006111.png;1;MTB; 25; 15; 34; 26; 
frame_006112.png;1;MTB; 25; 16; 34; 27; 
frame_006113.png;1;MTB; 25; 17; 35; 28; 
frame_006114.png;1;MTB; 26; 18; 36; 29; 
frame_006115.png;1;MTB; 27; 19; 38; 31; 
frame_006116.png;1;MTB; 29; 20; 41; 33; 
frame_006117.png;1;MTB; 32; 22; 44; 36; 
frame_006118.png;1;MTB; 35; 24; 48; 39; 
frame_006119.png;1;MTB; 39; 26; 52; 41; 
frame_006120.png;1;MTB; 44; 29; 58; 46; 
frame_006121.png;1;MTB; 50; 33; 65; 49; 
frame_006122.png;1;MTB; 58; 37; 73; 54; 
frame_006123.png;1;MTB; 68; 41; 79; 59; 
frame_006124.png;1;MTB; 76; 57; 79; 59; 
