Filename;Object ID;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;
frame_000054.png;1;MTB;64;28;80;48;
frame_000054.png;2;MTB;86;14;98;30;
frame_000055.png;1;MTB;62;28;80;50;
frame_000055.png;2;MTB;84;16;96;28;
frame_000056.png;1;MTB;62;28;80;56;
frame_000057.png;1;MTB;64;30;82;58;
frame_000058.png;1;MTB;66;32;84;58;
frame_000059.png;1;MTB;70;36;88;62;
frame_000060.png;1;MTB;72;38;94;68;
frame_000061.png;1;MTB;78;40;100;76;
frame_000062.png;1;MTB;82;44;110;80;
frame_000063.png;1;MTB;90;46;120;86;
frame_000063.png;2;MTB;62;26;80;48;
frame_000064.png;1;MTB;98;52;130;92;
frame_000064.png;2;MTB;62;28;80;50;
frame_000065.png;1;MTB;108;58;144;102;
frame_000065.png;2;MTB;62;28;80;52;
frame_000066.png;1;MTB;122;68;158;106;
frame_000066.png;2;MTB;62;30;80;54;
frame_000067.png;2;MTB;64;32;84;56;
frame_000068.png;2;MTB;66;34;88;62;
frame_000069.png;1;MTB;68;36;92;66;
frame_000070.png;1;MTB;74;38;100;72;
frame_000071.png;1;MTB;82;42;106;72;
frame_000072.png;1;MTB;90;48;116;82;
frame_000073.png;1;MTB;98;52;126;86;
frame_000074.png;1;MTB;110;58;140;92;
frame_000075.png;1;MTB;122;66;154;102;
frame_006900.png;1;MTB;56;40;80;64;
frame_006901.png;1;MTB;62;42;86;68;
frame_006902.png;1;MTB;70;46;94;78;
frame_006903.png;1;MTB;78;52;102;84;
frame_006904.png;1;MTB;86;56;114;90;
frame_006905.png;1;MTB;96;62;124;98;
frame_006906.png;1;MTB;106;68;138;104;
frame_006907.png;1;MTB;120;76;154;108;
frame_006940.png;1;MTB;50;34;70;56;
frame_006941.png;1;MTB;52;36;72;58;
frame_006942.png;1;MTB;54;38;76;62;
frame_006943.png;1;MTB;58;40;82;66;
frame_006944.png;1;MTB;64;44;88;72;
frame_006945.png;1;MTB;70;48;96;78;
frame_006946.png;1;MTB;78;52;104;82;
frame_006947.png;1;MTB;88;58;116;92;
frame_006948.png;1;MTB;100;66;130;98;
frame_006949.png;1;MTB;116;74;146;108;
frame_008443.png;1;MTB;52;32;70;58;
frame_008444.png;1;MTB;54;34;72;60;
frame_008445.png;1;MTB;56;34;74;64;
frame_008446.png;1;MTB;56;36;78;66;
frame_008447.png;1;MTB;60;38;80;68;
frame_008448.png;1;MTB;62;40;84;72;
frame_008449.png;1;MTB;64;40;86;74;
frame_008450.png;1;MTB;68;42;90;76;
frame_008451.png;1;MTB;70;46;94;82;
frame_008452.png;1;MTB;74;48;98;84;
frame_008453.png;1;MTB;78;48;104;86;
frame_008454.png;1;MTB;82;50;108;90;
frame_008455.png;1;MTB;86;54;114;92;
frame_008456.png;1;MTB;90;54;118;96;
frame_008457.png;1;MTB;94;58;122;100;
frame_008458.png;1;MTB;98;60;126;102;
frame_008459.png;1;MTB;102;62;130;106;
frame_008459.png;2;MTB;98;6;108;16;
frame_008460.png;1;MTB;104;64;134;110;
frame_008461.png;1;MTB;110;68;138;112;
frame_008462.png;1;MTB;114;70;142;112;
frame_008463.png;1;MTB;116;72;150;118;
frame_008464.png;1;MTB;122;76;156;119;
frame_008465.png;1;MTB;128;78;158;118;
frame_008591.png;1;MTB;54;36;72;62;
frame_008592.png;1;MTB;54;36;72;64;
frame_008593.png;1;MTB;56;36;74;64;
frame_008594.png;1;MTB;56;38;76;64;
frame_008595.png;1;MTB;58;38;78;68;
frame_008596.png;1;MTB;60;40;80;70;
