Filename;Object ID;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Column1;;;
frame_024133.png;1;MTB;56;15;79;45; ;;;
frame_024134.png;1;MTB;47;13;75;44; ;;;
frame_024135.png;2;MTB;38;10;68;44; ;;;
frame_024136.png;1;MTB;26;9;59;43; ;;;
frame_024137.png;1;MTB;21;8;48;39; ;;;
frame_024138.png;2;MTB;11;6;39;40; ;;;
frame_024139.png;2;MTB;2;5;30;37; ;;;
frame_024140.png;2;MTB;0;4;22;37; ;;;
frame_033075.png;1;MTB;49;16;76;45; ;;;
frame_033076.png;1;MTB;39;13;62;43; ;;;
frame_033077.png;1;MTB;25;12;49;42; ;;;
frame_033078.png;1;MTB;12;10;36;37; ;;;
frame_033079.png;1;MTB;0;8;24;34; ;;;
frame_053631.png;1;MTB;62;18;79;43; ;;;
frame_053632.png;1;MTB;50;16;72;42; ;;;
frame_053633.png;1;MTB;38;13;60;40; ;;;
frame_053634.png;1;MTB;25;11;47;40; ;;;
frame_053635.png;1;MTB;13;10;34;36; ;;;
frame_053636.png;1;MTB;0;8;20;33; ;;;
