frame_nr;type;score;left;top;right;bottom
0;1;0.2614;17;39;45;108
1;1;0.2932;49;38;65;78
2;1;0.3167;49;38;65;78
3;1;0.7858;53;38;69;78
4;1;0.9718;55;36;74;84
5;1;0.9154;57;38;73;78
6;1;1.1261;57;38;73;78
7;1;0.7902;57;38;73;78
8;1;0.4282;57;38;73;78
9;1;0.7173;61;38;77;78
10;1;0.9532;61;38;77;78
10;1;0.1476;1;42;17;82
11;1;0.5373;61;38;77;78
12;1;1.2019;65;38;81;78
13;1;0.8943;65;38;81;78
14;1;0.9190;69;38;85;78
15;1;1.5719;69;38;85;78
15;1;0.3930;-9;55;20;113
16;1;0.7469;73;38;89;78
17;1;0.9677;73;38;89;78
18;1;1.0197;73;38;89;78
19;1;0.8423;73;38;89;78
20;1;0.5459;77;38;93;78
21;1;1.0767;77;34;93;74
22;1;1.3393;77;34;93;74
23;1;0.7051;77;34;93;74
24;1;1.3457;81;34;97;74
25;1;1.3560;81;34;97;74
25;1;0.5470;-9;44;20;101
26;1;0.6349;85;34;101;74
26;1;0.2652;2;50;21;98
27;1;1.0922;3;44;26;101
27;1;0.7962;85;34;101;74
28;1;0.6241;85;34;101;74
28;0;0.4954;84;36;108;74
29;0;0.4063;84;36;108;74
29;1;0.2752;89;38;105;78
30;1;0.6020;8;38;31;95
31;1;0.4272;14;38;37;95
32;1;0.8016;14;38;37;95
33;1;0.6420;14;38;37;95
34;1;0.4795;14;38;37;95
35;1;0.1791;97;34;113;74
36;0;0.2557;98;36;122;74
37;1;0.1974;101;34;117;74
38;0;0.3065;103;36;127;74
39;1;0.3086;36;41;55;89
40;1;0.4970;36;41;55;89
41;1;0.6894;36;41;55;89
42;1;0.4112;36;36;55;84
43;1;0.8751;40;36;59;84
44;1;1.1911;40;36;59;84
45;1;0.9174;40;36;59;84
46;1;1.0316;45;36;64;84
47;1;0.8931;45;36;64;84
48;1;0.3379;50;36;69;84
49;1;0.8136;50;36;69;84
50;1;0.3182;50;36;69;84
51;1;0.3934;55;36;74;84
52;1;0.5806;57;38;73;78
53;1;0.8453;57;38;73;78
54;1;0.5819;61;38;77;78
55;1;1.0792;61;38;77;78
56;1;1.0112;61;38;77;78
57;1;0.9926;65;38;81;78
58;1;0.8234;65;38;81;78
59;1;0.3572;65;38;81;78
60;1;0.5663;69;38;85;78
61;1;0.5711;69;38;85;78
62;1;0.5272;69;34;85;74
63;1;1.0643;73;34;89;74
64;0;0.6201;69;36;93;74
65;1;0.8024;77;34;93;74
66;1;0.5744;81;34;97;74
67;1;0.4853;81;34;97;74
69;1;0.1133;85;34;101;74
70;1;0.0967;85;34;101;74
71;1;0.4007;89;34;105;74
72;1;0.4638;89;34;105;74
73;1;0.9538;93;34;109;74
74;1;0.2866;97;34;113;74
75;1;0.4465;97;34;113;74
76;1;0.3721;101;34;117;74
97;1;0.1631;149;34;165;74
99;1;0.0261;151;26;170;74
6049;0;0.1714;97;42;117;74
6050;0;0.5501;97;42;117;74
6051;0;0.6293;93;42;113;74
6052;0;1.1402;89;42;109;74
6053;0;0.4873;85;42;105;74
6054;0;0.7233;81;42;101;74
6055;0;0.3527;77;42;97;74
6056;0;0.8890;74;41;98;79
6057;0;0.6522;69;41;93;79
6058;0;0.7074;69;42;89;74
6059;0;0.6523;64;41;88;79
6060;0;0.7431;61;42;81;74
6061;0;0.8157;55;41;79;79
6062;0;0.7501;50;41;74;79
6063;0;0.9076;45;41;69;79
6064;0;0.7946;45;41;69;79
6065;0;0.3730;40;41;64;79
6066;1;0.6457;41;42;57;82
6067;1;0.5836;37;42;53;82
6068;1;0.2805;37;46;53;86
6070;0;0.0663;11;46;45;101
6071;0;0.8060;4;46;38;101
6072;0;0.6148;3;44;31;90
6073;0;1.2452;2;50;26;89
6074;1;0.2433;2;50;21;98
6075;1;0.0374;-7;58;13;98
10718;0;0.4976;93;42;113;74
10719;0;0.5565;89;42;109;74
10720;0;0.6694;85;42;105;74
10721;0;0.1890;77;42;97;74
10722;0;0.4622;73;42;93;74
10723;0;0.4111;69;42;89;74
10724;0;0.6770;59;41;84;79
10725;0;0.7114;55;41;79;79
10726;0;0.3241;45;41;69;79
10727;0;0.6079;40;41;64;79
10728;1;0.5004;41;42;57;82
10731;0;1.0385;4;39;38;94
10732;0;0.7180;2;50;26;89
10733;1;0.0527;1;58;17;98
20417;0;0.0670;129;42;149;74
20424;0;0.1991;101;42;121;74
20425;0;1.0510;97;42;117;74
20426;0;1.0318;93;42;113;74
20427;0;0.8979;89;42;109;74
20428;0;0.5129;85;42;105;74
20429;0;0.7086;81;42;101;74
20430;0;0.7151;77;42;97;74
20431;0;0.8837;69;41;93;79
20432;0;0.9652;69;46;89;78
20433;0;0.9510;60;44;89;90
20434;0;0.7838;61;46;81;78
20435;0;0.4948;57;46;77;78
20436;0;0.6475;50;46;74;84
20437;0;0.7964;45;46;69;84
20438;0;0.8260;40;46;64;84
20439;1;0.5737;41;46;57;86
20440;1;0.6702;37;46;53;86
20443;0;0.7518;4;46;38;101
20444;0;1.8262;3;49;31;95
20445;0;0.7977;-9;49;26;95
20744;0;0.0715;137;42;157;74
20745;0;0.0348;133;38;153;70
20747;0;0.0963;129;38;149;70
20760;0;0.5215;98;36;122;74
20761;0;0.8322;97;38;117;70
20762;0;0.6483;93;36;117;74
20763;0;1.0072;93;38;113;70
20764;0;0.6124;89;38;109;70
20765;0;0.2353;89;38;109;70
