frame_nr;type;score;center_x;center_y
0;1;0.2613790735551069;31;74
1;1;0.2932103976556013;57;58
2;1;0.3166733488389204;57;58
3;1;0.7858228191682051;61;58
4;1;0.9718187555619429;65;60
5;1;0.915388534958;65;58
6;1;1.1261013254471968;65;58
7;1;0.7902166351624678;65;58
8;1;0.42816771119319896;65;58
9;1;0.7173299297639082;69;58
10;1;0.9531559452363203;69;58
10;1;0.14764888137065868;9;62
11;1;0.5373438104935835;69;58
12;1;1.2018750414200972;73;58
13;1;0.8943151935883711;73;58
14;1;0.9189890131303022;77;58
15;1;1.5718953117676924;77;58
15;1;0.3930472239800642;6;84
16;1;0.746863554412956;81;58
17;1;0.9676759943314741;81;58
18;1;1.0197413667985151;81;58
19;1;0.8423374399491499;81;58
20;1;0.5458526119538496;85;58
21;1;1.0766891941376875;85;54
22;1;1.3393234714814375;85;54
23;1;0.7050886854478071;85;54
24;1;1.3457438453980635;89;54
25;1;1.3559799894639204;89;54
25;1;0.5469687685319136;6;73
26;1;0.6348880037614058;93;54
26;1;0.26524115651332836;12;74
27;1;1.092201302940483;15;73
27;1;0.7961867555924604;93;54
28;1;0.624109934265251;93;54
28;0;0.4953658823785344;96;55
29;0;0.4063139204797307;96;55
29;1;0.2752248749085615;97;58
30;1;0.6019932731934736;20;67
31;1;0.4272438988038252;26;67
32;1;0.8016222223588179;26;67
33;1;0.642040203506584;26;67
34;1;0.4795427426644514;26;67
35;1;0.17913175671779613;105;54
36;0;0.2556990628060857;110;55
37;1;0.1974353298493574;109;54
38;0;0.30645980880828294;115;55
39;1;0.30862195342266063;46;65
40;1;0.4970021352120588;46;65
41;1;0.6894437774964521;46;65
42;1;0.411234687263603;46;60
43;1;0.8751292929001997;50;60
44;1;1.1911344036408613;50;60
45;1;0.9173961386033247;50;60
46;1;1.03162867873394;55;60
47;1;0.893058966095085;55;60
48;1;0.33794755786144237;60;60
49;1;0.8135873779603193;60;60
50;1;0.3181747302361677;60;60
51;1;0.39343530982219677;65;60
52;1;0.5805805429764936;65;58
53;1;0.8452687963792036;65;58
54;1;0.5819360718079756;69;58
55;1;1.0792011722871016;69;58
56;1;1.0111636623688887;69;58
57;1;0.9926119551011274;73;58
58;1;0.8233966335602949;73;58
59;1;0.357204507286186;73;58
60;1;0.5663232311555098;77;58
61;1;0.5711247429200361;77;58
62;1;0.5272212728806684;77;54
63;1;1.0643182501145552;81;54
64;0;0.6201130394753972;81;55
65;1;0.802392552787895;85;54
66;1;0.5744059786149214;89;54
67;1;0.4852575167962263;89;54
69;1;0.1132579550095747;93;54
