frame_nr;type;score;left;top;right;bottom
97835;0;0.1057;1;42;21;74
97836;1;0.9306;1;34;17;74
97837;1;1.2861;9;34;25;74
97838;1;0.7959;13;34;29;74
97839;1;0.5370;21;34;37;74
97840;0;0.3924;21;36;45;74
97841;1;0.6287;29;34;45;74
97842;0;0.6236;29;34;49;66
97843;0;0.6150;33;34;53;66
97844;0;0.2092;33;34;53;66
97848;0;0.0526;41;30;61;62
97998;0;0.3489;37;30;57;62
97999;0;0.6033;33;34;53;66
98000;0;0.9574;29;34;49;66
98001;0;0.9999;25;34;45;66
98002;0;0.4969;16;31;40;70
98003;0;0.8701;12;36;36;74
98004;0;1.0540;3;32;31;78
98005;1;0.4450;1;38;17;78
98334;1;0.0451;-7;38;13;78
98335;1;0.0710;-7;38;13;78
98341;1;0.2095;-7;34;13;74
98843;1;0.3290;2;26;21;74
98844;1;0.2242;2;26;21;74
98845;1;0.4136;8;26;31;84
98846;1;0.5383;12;26;31;74
98847;1;0.6646;14;26;37;84
98848;1;0.4146;16;31;36;79
98849;1;1.1565;21;31;40;79
98850;1;0.5505;25;34;41;74
98851;1;0.9472;26;31;45;79
98852;1;0.7471;29;34;45;74
98853;1;0.4577;33;30;49;70
98854;1;1.1860;33;30;49;70
98855;0;0.4879;33;34;53;66
98856;1;0.7182;37;30;53;70
98857;1;0.3777;37;30;53;70
98861;0;0.1018;41;30;61;62
99007;0;0.0391;41;30;61;62
99008;0;0.1517;37;30;57;62
99009;0;0.0750;37;30;57;62
99010;0;0.6026;33;34;53;66
99011;0;0.7687;29;34;49;66
99012;0;0.7282;21;31;45;70
99013;0;0.8703;16;36;40;74
99014;0;0.9377;3;32;31;78
99015;0;0.5745;2;36;26;74
99124;1;0.7302;2;31;21;79
99125;1;0.7296;9;34;25;74
99126;1;0.7620;17;34;33;74
99127;1;1.2130;21;34;37;74
99128;1;0.9780;25;34;41;74
99129;1;0.2760;29;30;45;70
99130;1;0.4978;33;30;49;70
99131;0;0.2775;33;34;53;66
99132;0;0.1263;37;34;57;66
99266;0;0.2013;33;34;53;66
99267;0;0.3521;29;34;49;66
99268;0;0.6321;25;34;45;66
99269;0;0.3412;21;38;41;70
99270;0;0.8144;12;36;36;74
99271;0;0.5234;2;36;26;74
102742;0;0.0195;33;34;53;66
102744;0;0.6149;25;38;45;70
102745;0;0.3191;21;38;41;70
102746;0;0.2732;12;36;36;74
102747;0;1.1811;3;38;31;84
102748;0;0.5157;1;46;21;78
102757;0;0.0737;37;34;57;66
102758;0;0.2408;33;38;53;70
102759;0;0.8861;29;38;49;70
102760;0;0.5251;21;36;45;74
102761;0;1.0993;16;36;40;74
102762;0;0.6893;8;38;37;84
102763;0;0.9284;-9;38;26;84
