frame_nr;type;score;left;top;height;width
723;0;1.4742398649461534;6;6;88;59
724;0;1.196533718705919;37;13;73;49
725;0;1.2149300962693956;61;13;73;49
726;0;0.7223389536149767;83;16;87;59
727;0;0.9107835680253771;112;16;87;59
728;0;1.1553941160447863;141;16;87;58
729;0;1.2262593895204332;170;16;87;58
730;0;1.4753002315767076;192;19;105;70
731;0;1.0446387916810778;227;19;105;70
732;0;0.24740842878892694;161;-102;240;145
733;1;0.20234952413737428;294;54;97;40
17330;0;0.3918292909868029;102;16;87;59
17331;0;0.6126799970872667;131;16;87;59
17332;0;0.9300417095430162;160;16;87;59
17333;0;0.5766336709268358;181;8;105;70
17334;0;0.772581139207628;215;19;105;70
17335;0;0.6042924910791185;246;26;87;59
25243;0;1.476621666551378;6;6;88;59
25244;0;1.2447915464647081;26;6;88;58
25245;0;1.0672759205110338;45;6;88;58
25246;0;1.0623904854066637;74;6;88;58
25247;0;0.46290127337053094;93;16;87;58
25248;0;0.8883120208986071;121;16;87;59
25249;0;1.1524377256639269;150;16;87;59
25250;0;1.3765721708543566;179;16;87;59
25251;0;1.1859115749604967;192;19;105;70
25252;0;1.063830056787279;217;24;125;84
25253;0;0.6598663717515734;266;35;87;58
26300;0;1.3980935007341173;6;16;87;59
26301;0;1.020550289750841;26;16;87;58
26302;0;1.4359314829118517;54;16;87;59
26303;0;0.8862228780992296;74;16;87;58
26304;0;1.0795836836107042;102;16;87;59
26305;0;1.3299285560853746;131;16;87;59
26306;0;0.9358404070146349;160;26;87;59
26307;0;1.686744490266588;192;19;105;70
26308;0;1.0304038912065294;227;19;105;70
26309;0;0.48360041678025995;250;31;105;70
26310;1;0.19704560482203615;294;64;97;40
31308;0;0.20235822498872552;-19;13;73;57
31309;0;1.3179877191789415;5;13;73;49
31310;0;0.6681024223573473;13;13;73;49
31311;0;0.5398211270578173;29;13;73;49
31312;0;0.6310254722841051;45;13;73;49
31313;0;0.5083900481469896;54;16;87;59
31314;0;0.3408124238260058;65;8;105;71
31315;0;0.35832403004243646;93;16;87;58
31316;0;0.3149109274156359;100;8;105;70
31317;0;0.7203588873155382;131;16;87;59
31318;0;0.4811330229051379;150;16;87;59
31319;0;0.8594907909639147;170;16;87;58
31320;0;0.8265792518861559;181;19;105;70
31321;0;0.9770336538560656;204;19;105;70
31322;0;0.41547135412767205;217;24;125;84
31323;0;0.39047650396898065;238;31;105;70
31324;0;0.5293392330415514;250;42;105;70
31325;1;0.177018682596084;294;54;97;40
31326;0;0.31964830458238397;-19;13;73;57
31327;0;1.2158610016114977;5;13;73;49
