frame_nr;type;score;center_x;center_y
723;0;1.4742398649461534;8;12
724;0;1.196533718705919;15;12
725;0;1.2149300962693956;21;12
726;0;0.7223389536149767;28;14
727;0;0.9107835680253771;35;14
728;0;1.1553941160447863;42;14
729;0;1.2262593895204332;49;14
730;0;1.4753002315767076;56;17
731;0;1.0446387916810778;65;17
732;0;0.24740842878892694;58;4
733;1;0.20234952413737428;78;25
17330;0;0.3918292909868029;32;14
17331;0;0.6126799970872667;40;14
17332;0;0.9300417095430162;47;14
17333;0;0.5766336709268358;54;15
17334;0;0.772581139207628;62;17
17335;0;0.6042924910791185;68;17
25243;0;1.476621666551378;8;12
25244;0;1.2447915464647081;13;12
25245;0;1.0672759205110338;18;12
25246;0;1.0623904854066637;25;12
25247;0;0.46290127337053094;30;14
25248;0;0.8883120208986071;37;14
25249;0;1.1524377256639269;44;14
25250;0;1.3765721708543566;52;14
25251;0;1.1859115749604967;56;17
25252;0;1.063830056787279;64;21
25253;0;0.6598663717515734;73;19
26300;0;1.3980935007341173;8;14
26301;0;1.020550289750841;13;14
26302;0;1.4359314829118517;20;14
26303;0;0.8862228780992296;25;14
26304;0;1.0795836836107042;32;14
26305;0;1.3299285560853746;40;14
26306;0;0.9358404070146349;47;17
26307;0;1.686744490266588;56;17
26308;0;1.0304038912065294;65;17
26309;0;0.48360041678025995;71;20
26310;1;0.19704560482203615;78;28
31308;0;0.20235822498872552;2;12
31309;0;1.3179877191789415;7;12
31310;0;0.6681024223573473;9;12
31311;0;0.5398211270578173;13;12
31312;0;0.6310254722841051;17;12
31313;0;0.5083900481469896;20;14
31314;0;0.3408124238260058;25;15
31315;0;0.35832403004243646;30;14
31316;0;0.3149109274156359;33;15
31317;0;0.7203588873155382;40;14
31318;0;0.4811330229051379;44;14
31319;0;0.8594907909639147;49;14
31320;0;0.8265792518861559;54;17
31321;0;0.9770336538560656;59;17
31322;0;0.41547135412767205;64;21
31323;0;0.39047650396898065;68;20
31324;0;0.5293392330415514;71;23
31325;1;0.177018682596084;78;25
31326;0;0.31964830458238397;2;12
31327;0;1.2158610016114977;7;12
31328;0;1.2019458204515245;8;12
31329;0;1.540105143190172;13;12
31330;0;0.8957913309343126;16;12
31331;0;1.5032488495118883;20;12
31332;0;1.3478575140245226;25;12
31333;0;1.1091169506318834;30;12
31334;0;0.9616476684816149;33;10
31335;0;0.935670533777025;40;12
31336;0;0.8421029239900377;44;14
31337;0;1.2754410892732408;48;15
31338;0;1.415621557832506;54;15
31339;0;1.2881327062852648;59;15
31340;0;1.2041552454240587;62;17
31341;0;1.323429265619066;68;17
31342;0;0.502307930589464;74;17
31343;0;0.1981463819749621;77;18
45904;0;1.5271830946214464;42;14
45905;0;1.049341598153856;49;14
45906;0;1.1394482046373156;56;17
45907;0;1.046770730615404;65;17
45908;0;0.5574461609132555;73;19
46408;0;0.18790129721238885;4;12
46409;0;1.1605515867479113;8;12
46410;0;0.7752764612443712;13;12
46411;0;0.887913981080797;18;12
46412;0;1.242888608575609;23;12
46413;0;0.8089101701982286;30;14
46414;0;1.1817460447557238;35;14
46415;0;0.7000342994935778;39;17
46416;0;0.7930318504579332;48;15
46417;0;1.2623440414674547;54;17
46418;0;1.4549992471940782;62;17
46419;0;0.9020631700761583;68;20
50451;0;0.5186663061387804;7;12
50452;0;0.7577255159623888;8;12
50453;0;0.8027422815568712;11;12
50454;0;0.5586101800210741;13;12
50455;0;0.7057283312089708;16;12
50456;0;0.5882126480348375;18;12
50457;0;0.7643442541368273;20;12
50458;0;0.48146394789293084;25;12
50459;0;0.711991825700548;28;12
50460;0;0.5613921672113207;30;12
50461;0;1.2861277252443102;7;14
50462;0;1.5619081646211412;8;14
50463;0;1.101667085290697;11;14
50464;0;0.708943524957445;13;14
50464;0;0.635865846277025;42;15
50465;0;1.0424440294511583;16;12
50466;0;1.1151047140367296;18;12
50467;0;1.0973798424012926;20;12
50468;0;1.0323238760240343;23;14
50468;0;0.8185116440065172;56;15
50469;0;1.0989859491594103;28;14
50469;0;0.9003851801164415;59;17
50470;0;1.284196415544298;30;14
50471;0;1.2685051351793077;32;14
50471;0;1.1180129438646105;68;17
50472;0;1.0864258199937609;71;17
50472;0;0.9937771946199205;35;14
50473;0;0.9361427217729357;36;15
50474;0;0.9647903829820421;39;15
50475;0;1.0464308649308947;42;15
50476;0;1.095301070810106;45;15
50477;0;1.3367331415422228;48;15
50478;0;1.2515331894166735;54;15
50479;0;1.3064349085099962;56;17
50480;0;1.636693039537218;59;17
50481;0;1.2474713712938097;62;17
50482;0;1.03017286360338;65;17
50483;0;0.7503689914949205;68;17
50484;0;0.7119199424989489;71;19
50485;0;0.29191050827577386;77;20
50486;1;0.2664559885233606;78;18
64356;0;0.41452215015962396;2;12
64357;0;1.1022526413209703;7;12
64358;0;0.887209692598131;13;12
64359;0;1.187744656205919;18;12
64360;0;0.9687546879060533;23;12
64361;0;0.7780110031373766;28;15
64362;0;0.33768520653322015;33;15
64363;0;0.7730580955751207;40;14
64364;0;1.0818620115525988;44;14
64365;0;1.0010149866349962;52;14
64366;0;1.4923752933748033;59;17
64367;0;0.9642334371812609;65;17
64368;0;0.36392472088411126;71;20
64376;0;0.1296145111329821;4;14
64377;0;1.4497002750642565;8;12
64378;0;1.2056334406144884;13;12
64379;0;1.012013831735399;19;12
64380;0;0.9386003404863146;25;12
64381;0;1.331310787797716;32;14
64382;0;1.2653829246766832;40;14
64383;0;1.030993142724779;47;14
64384;0;1.2919251114137438;54;17
64385;0;1.3279773384340074;62;17
64386;0;1.165414848924425;68;20
64387;0;0.22734937965944085;77;20
74347;0;0.4044899731881884;3;12
74348;0;1.0531816869981554;7;12
74349;0;1.4424984842546251;8;12
74350;0;1.33559016287401;11;12
74351;0;1.0836851984269884;13;12
74352;0;1.0734277158983019;16;12
74353;0;0.9269607454545763;18;12
74354;0;0.7682347685106066;23;12
74355;0;1.19873074591234;25;12
74356;0;1.1563161998994615;28;12
74357;0;1.0036501079805162;32;12
74358;0;1.0570309549577501;35;14
74359;0;1.5191210895784166;37;14
74360;0;1.5025940328843859;42;14
74361;0;1.54060188829973;45;15
74362;0;1.211207905412462;48;15
74363;0;1.205208936334398;54;15
74364;0;1.2490817695863512;56;17
74365;0;1.5851935535676744;62;17
74366;0;1.848600187898424;65;17
74367;0;1.4966203361757067;8;12
74368;0;1.3570497423417833;13;12
74369;0;0.9624234825380114;16;12
74370;0;0.7451371341951158;20;12
74371;0;0.94080678522661;23;12
74372;0;0.8186848551042345;28;12
74373;0;1.1723795324571398;30;14
74374;0;1.4072448402650621;35;14
74375;0;1.1713287025697496;40;14
74376;0;1.3862947613008287;44;14
74377;0;1.3458799511201647;49;14
74378;0;1.2198729902513292;54;15
74379;0;1.556368866563585;56;17
74380;0;1.214643397928026;62;17
74381;0;1.3087945371873644;68;17
74382;0;1.1211471945054796;71;19
74383;0;0.37727574408128534;77;20
74499;0;0.1258231192834643;2;12
74500;0;0.7698146492250231;4;12
74501;0;1.3800413995988634;8;12
74502;0;1.1036166340120104;11;12
74503;0;0.6774970680482653;16;12
74504;0;0.8359301477678087;18;12
74505;0;1.1524486929185656;23;12
74506;0;1.0035839468248156;25;12
74507;0;1.2860191255815294;30;12
74508;0;1.1871344238527086;35;12
74509;0;0.8206169992692736;40;14
74510;0;0.770612636209276;44;14
74511;0;1.105922260881212;48;15
74512;0;1.135593333841112;52;14
74513;0;1.3774189144380358;56;17
74514;0;1.3210375696428087;62;17
74515;0;1.006169834733751;65;17
74516;0;0.5751576811082628;71;17
74517;1;0.15029005253016603;76;7
76015;0;0.9592826753862169;7;12
76016;0;0.6128646522767809;11;12
76017;0;0.785244622827318;16;12
76018;0;0.5464296728379991;20;12
76019;0;0.6076937109239366;25;12
76020;0;0.35512910187318597;30;12
76021;0;0.25546214878633294;35;12
76022;0;0.45294288694932733;40;14
76023;0;0.36104301512315545;45;15
76024;0;0.7027986437089708;51;15
76025;0;0.5468387395150927;56;17
76026;0;0.8966882616288927;62;17
76027;0;0.7762611299760607;68;17
76028;0;0.5006888300187853;71;19
76029;1;0.13828090870082033;78;26
76073;0;1.2463820368058947;11;14
76074;0;1.0699093729265001;16;14
76075;0;1.0101232916124132;18;14
76076;0;0.6944374233491686;22;15
76077;0;1.008193293214586;25;14
76078;0;1.32404653132036;30;14
76079;0;1.2932072073228624;33;15
76080;0;1.351793089509752;39;15
76081;0;1.1113841921098497;42;15
76082;0;1.294469156862047;7;14
76083;0;1.2628791719682482;8;14
76084;0;1.4654940754182604;56;17
76084;0;1.348311701417711;13;14
76085;0;1.472416082025316;59;17
76085;0;1.1562077194459703;16;14
76086;0;1.470356026292589;65;17
76086;0;1.0546619087465074;20;14
76087;0;1.0825745254762438;71;17
76088;0;0.8943002611406115;71;22
76089;0;1.0434769779451158;31;17
76090;0;1.179930844903734;36;17
76091;0;1.3825772196061876;7;12
76092;0;1.471736469865587;45;17
76093;0;1.4888887792833116;48;17
76094;0;1.0285585314042833;54;17
76095;0;1.3270715862520006;56;20
76096;0;1.5997207552202013;62;20
76097;0;1.3151301532991198;25;12
76098;0;0.9345839411027697;71;23
76099;0;1.070469895005968;32;12
76100;0;0.9255428701646593;36;15
76101;0;1.0500702053315905;40;14
76102;0;0.9880423933275011;42;15
76103;0;1.313209334016588;47;14
76104;0;1.3990348964936998;51;15
76105;0;1.0473291069276598;56;17
76106;0;1.5515090614564684;59;17
76107;0;1.364639440179613;65;17
76108;0;1.4704658180482653;68;17
76109;0;0.564084807039049;71;19
